aaaa	工
mwyc	岭
mwyb	酅
mwyf	崔
mwym	嶲
mwyn	岑
mxxi	幽
mxth	嶷
myd	丹
myet	彤
mykk	嵩
mykb	崞
myky	㠇
mynw	赅
myve	崀
mywf	崒
mywr	峧
nav	民
naei	展
naah	悈
nagd	惬
naj	异 羿
najg	惜
nakg	慬
nalh	懵
nanv	屉
nary	怄
natf	懂
natn	愍
nawc	殿
nawe	臀
nayk	慌
nbty	敢
nbbb	孱
nbcc	慑
nbmk	屈
nbsk	屙
nbtn	憨
ncfg	怪
nccc	惙
ncde	惨
ncgh	怿
nckg	怡
ncwt	悛
ndd	居
ndae	惰
nddy	恹
ndg	怙
ndgn	憾
ndhy	怀
ndjh	剧
ndmh	怖
ndmd	愐
ndny	忧
ndoy	恢
ndui	憭
neeg	慆
nfu	导
nfam	愤
nfci	层 厾
nfce	恸
nfcy	怯 忮
nfdj	懦
nffy	恃
nfhw	慎
nfin	慰
nfif	尉
nfij	螱
nfio	熨
nfpk	迅
nfpb	悖
nfqn	怃
nftj	屠 愭
nfuf	悻
nfwt	㥄
nfy	忖
ngbh	那
ngbn	忳
ngcf	屋
ngd	刁
ngeg	情
nghg	怔
ngjg	恒
ngkd	司
ngkg	悟
ngki	悚
ngkm	懒
nguf	怦
ngxi	愫
nhty	收
nhbh	郿
nhd	眉
nhda	戕
nhdd	奘 悱
nhde	爿
nhdg	牂
nhdk	牁
nhef	胥
nhfd	丑
nhfc	叚
nhfp	遐
nhju	蛋
nhjf	悼
nhjg	疍
nhqg	鹛
nhwy	惧
nhyk	疏
nii	尿
nied	屑
nieg	悄
nigq	恍
nimk	惝
nitg	犀
njlc	慢
njcf	悭
njfh	悍
njfg	悝
njgg	怛
njlg	愠
njqr	惕
njtg	惺
njyi	憬
nkup	避
nkcn	悒
nkhh	忡 翀
nkhm	愦
nkkn	愕
nkuf	壁 辟
nkue	臂 襞
nkug	䴙
nkuq	鐾
nkur	擘
nkus	檗
nkuv	劈 嬖
nkuy	譬 璧 甓
nlrh	惭
nlaw	翼
nlsy	悃
nlyt	愣
nmd	届
nmdj	惴
nmdy	怏
nmfk	惆
nmgk	恫
nmhj	刷
nmi	屃
nmjh	恻
nmnn	恺
nmun	惘
nnnn	已
nnaw	巽
nngn	己 巳
nngt	尸
nnhy	书
nnhf	忸
nnkd	局
nnll	乙
nnn	忆
nnu	忌
nnv	乜
nnwy	快
nnxn	怩
nnyg	羽
novd	屡
nohk	惦
noi	屎
nooy	惔
novi	慷
novh	慵
npqn	忱
npfi	悰
npgg	愃
nplh	恽
nplj	翚
npqb	惋
nqeg	懈
nqaj	惛
nqdy	憺
nqjg	恂
nqrn	惚
nqvg	㤘
nqwy	忺
nqyg	鸤
nrg	怕
nrgg	惶
nrh	忻
nrnn	忾
nrqc	愧
nsyy	怵
nsg	恓
nssh	憷
nte	必
ntay	怅
ntbg	悸
ntbh	邲
v	发
ntdg	恬
ntfn	尾
ntfc	屐
ntfh	忏 忤
ntfp	慥
ntgg	性
nthf	怍
nthh	屣
ntji	虱
ntjt	愎
ntky	属
ntkg	恪
ntlg	恤
ntmd	懊
ntov	屦
ntoy	愀
nttt	履
ntxy	悔
nty	改
nud	习
nuak	屏
nudu	买
nuf	翌
nugg	羼
nui	飞
nujf	憧
nujg	愔
nukq	悦
nulj	憎
nulh	惮
nuvo	慊
nuxt	悌
nuyy	悯
nvey	恨
nvcq	慨
nvkg	怊
nvt	忉
nvv	尻
nwyg	惟
nwbn	怆
nwcy	忪
nwea	戮
nwee	勠
nweg	鹨
nwgk	恰
nwgj	愉
nwgu	憕
nwi	夬
nwvt	翂
nwyc	怜
nwya	戳
nwyf	翟
nwyo	憔
nxfm	惯
nxjh	怫
nxv	尼
nxxv	屁
nyny	心
nyhy	忭
nyi	尺
nyjg	昼
nyki	惊
nykb	惇
nykk	翯
nykw	咫
nyli	懔
nynn	忙
nypi	迟
nyrb	恼
nyuu	尽
nyve	悢
nywf	翠 悴
nywr	恔
ytny	为
oaci	度
oadn	煁
oafs	煤
oakg	廑
oaky	爟
oamh	席
oanw	炼
oang	炬
oany	庹
oaop	遮
oaog	鹧
oaoi	庶
oaoj	䗪
oary	𬉼
oatq	烧
oath	糒
oawu	粪
oawy	烘
obg	籽
obh	邝
obxb	鬯
ocnh	序
ocag	烃
ocde	糁
ocep	熥
ocn	粑
ocnk	燏
ocns	糅
ocwt	焌
odu	类
odeg	糊 煳 烠
odff	煃
odg	炻
odgq	粝
odi	庆
odjn	庵
odmy	烦
odui	燎
odxy	庞
oegg	粗
oehc	廋
oehh	㶲
oelf	爝
oewi	庾
ofd	庄
ofci	庋
ofdj	糯
offi	庤
ofg	灶
ofnh	炜
ofqv	庑
oftn	烤
ofwt	庱
ofwy	㸌
ogd	业
ogbh	邺
ogbn	炖
ogeg	精
ogjr	粳
ogjg	烜
ogkg	焐
ogmj	糟
ogmw	炳
ogqt	廒
ogub	凿
ogui	黹
oguy	黻 黼
ohkd	店
ohjf	焯
ohkg	粘
oigd	应
oitt	炒
ojy	烛
ojai	爆
ojfh	焊
ojff	廛
ojgg	炟
ojlg	煴
ojsy	粿
ojtg	煋
ojug	煜
ojxx	焜
okks	燥
okeg	焆
okwy	炽
oldy	烟
olaw	廙
oleg	煟
olge	煨
olk	库
omd	庙
omdj	煓
omgk	烔
omh	灿 籼
omkg	炯
onrh	断
onhe	糈
onjx	鹿 麀
onjb	鄜
onjf	麝
onjg	麈
onjh	麟
onji	麖
onjo	麋
onjq	鏖 麑
onjt	麇
onjw	麂 麒
onnk	焗
onrg	熠
onrt	炀
onty	废
onwe	廖
onwy	炔
onyu	烬
oooo	火 燚
oobh	郯
oojh	剡
ooos	燊
ooou	焱
ooqw	欻
oou	炎
oovk	糖
oovi	糠
opi	迷
opfq	烷
opfi	粽
opgg	煊
opwk	熔
oqay	底
oqab	粼
oqan	翷
oqap	遴
oqdo	燃
oqeg	焰 廨
oqmd	焕
oqnn	炮
oqnv	庖
oqqw	𫷷
oqwy	炊
oqyy	灼
oqyl	熘
orgg	煌
ordh	烯
org	粕
orh	炘
orqc	廆
ortf	庳
osh	灯
osfi	熛
osg	粞
osi	床
osjg	𥻗
oskg	炣
ossi	麻 縻
ossc	魔 麽
ossd	磨 靡
ossn	麾
osso	糜
ossr	摩
otfp	庭 糙 烶
otdh	烽
otfd	㸆
othf	炸
othj	糌
othn	熄
othp	烻
othy	糗
otkg	烙
otln	熜
otmd	燠
otni	烁
otol	燔
otuf	烀
oty	敉
oufh	料
oudg	烂
ouep	燧
oug	粒
ough	烊
ougk	庠
ougo	糕
ougy	爔
oukg	焙
oulh	𬊤
ouny	焖
ouvo	廉
ouxx	糍
ovty	数
oveh	庸
oveb	鄘
ovep	煺
ovf	娄
ovfy	𬊈
ovhk	唐
ovhb	鄌
ovii	康
ovwi	庚
ovwg	鹒
ovwm	赓
owfi	府
owbn	炝
owdc	煅
owfw	腐
owfc	烩
owga	爚
owgn	熻
owjh	炌
ownd	糇
owsi	庥
owvt	粉
owwf	座
owwe	膺
owwg	鹰
owxf	烨
owyk	焓
owyo	燋
oxxv	庇
oxdm	庼
oxkj	糨
oygt	广
oygg	炷
oykb	廓 焞
oykk	熇
oyli	廪
oynt	炉
oyna	煸
oyne	庐
oynn	煽
oyty	米
oyuk	熵
oyve	粮 烺
oyvb	廊
oywf	粹
oywn	炕
oyxy	炫
oyy	炆
ypi	这
pamq	宽
pahh	宦 宧
pajd	寞
pawm	赛
pawe	褰
pawf	塞
pawg	骞 𬸣
pawh	蹇
pawr	搴
paws	寨
pawu	寒
pawy	謇
pbf	字
pdhk	害 豁
pdcu	宏
pdev	寡
pdef	宥
pdf	宕
pdfe	宸
pdhj	割
pdny	宬
pdsk	寄
pdui	寮
pdxy	宠
pei	农
pegf	宜
pfu	守
pfiu	宗
pfqb	完
pfqc	寇
pfqf	冠
pghu	定
pgcf	室
pgeu	家
pgey	冢
pgfj	宇
pgjg	宣
pgkl	富
pgmw	寅
pgma	戭
pgng	写
pgvh	寁
pgyu	宝
phnn	官
phgc	寂
phnp	逭
pief	宵
pjhj	审
pjdh	幂
pjmy	寓
pjvf	宴
pjyw	冥
pkkf	宫
plj	军
plbh	郓
plge	寰
plhc	皲
pmf	宙
pntm	密
pneh	甯
pnhi	寐
pnhk	寤
pntj	蜜
pntr	宓
pnwe	寥
pou	灾
pppp	之
pqky	冤
pqbb	宛
pqbj	剜
pqqg	鸩
prgw	宾
psj	宁
psu	宋
ptkf	客
ptab	宅
ptfq	宪
ptgj	牢
ptkm	额
pudu	实
puak	褡
pucy	衩
pucc	裰
pudf	褥
pudj	襫
puet	衫
pufy	衬
pufc	袪
pufh	褂 袆
pufj	宰 褚 襦
pugs	袜
puge	裱
pugm	𫌀
puhc	被
puhy	补
puiv	裆
pujs	裸
pujg	袒
pujl	褴
pujn	褐 褟
pujr	裼
pukg	裎
pulp	裢
pumg	袖
pumw	衲
punr	褶
pund	裾
punw	袂
puny	袯
puol	裤
puoh	褯
puov	褛
pupl	裈
puqn	袍
puqy	襜
purf	裨
purw	褫
pusi	襟
pusr	襻
putd	袄
putf	衽
putk	袼
puue	褙
puug	袢
puui	襕
puuj	裥
puup	襚
puvt	初
puvc	寝
puve	裉
puvk	裙
puvp	褪
puwk	裕 袷
puwe	袗
puwg	裣
puwj	褕
puwn	衿
puws	褓
puwy	袱
puxj	襁
puya	褊
pvf	安
pvb	宄
pvsu	案
pwaf	空
pwat	穿
pwan	窍
pwav	窃
pwbg	窿
pwb	冗
pwdy	突
pwdj	宿
pwer	穷
pwfi	察
pwfd	窦
pwfj	罕
pwfq	窥
pwgf	窒
pwgn	窀
pwhf	窅
pwjs	窠
pwkw	窝
pwkh	窜
pwmh	帘
pwnm	窟
pwov	窭
pwqi	窕
pwqg	窎
pwqu	穸
pwrm	窑
pwry	窳 窊
pwtq	窗
pwtf	窄
pwtk	窖
pwtn	窸
pwu	穴
pwuj	窨
pwup	邃
pwvb	究
pwvk	窘
pwwk	容
pwwj	窬
pwxb	穹
pwxe	窈
pwyg	鹤
pwyd	隺
pwyf	窣
pxb	它
pyfg	社
pyaw	祺
pybh	祁
pycg	祃
pydf	祷
pydd	禊
pydg	祜 祏
pydk	祐
pydy	祓
pyeg	祖
pyfc	祛
pyfh	祎
pyfk	禧
pyft	祾
pyfw	禛
pygl	福
pygd	祆
pyhg	祉
pyhm	祯
pyjh	神 禔
pyjs	祼
pykq	祝
pykw	祸
pyln	禤
pymq	视
pynn	礼 祀
pynk	祠
pynt	祕
pyqy	祗
pyqa	祇
pyqi	祢 祧
pyrh	祈
pysf	禋
pytf	祚
pyug	祥
pyul	禅
pyuo	禚
pyvi	禄
pyvc	祲
pywc	祋
pyxe	禒
pyye	禳
pyyh	禘
pyyt	祊
trxy	我
qajg	错
qadk	锘
qadw	𫓹
qafg	钳
qafj	䦃
qahb	铘
qahh	舛
qahs	桀
qajf	昏
qajd	镆
qakg	钷
qalg	锚
qamd	锳
qamw	𨱑
qang	钜
qany	铽
qape	铹
qatq	铙
qav	氏
qawc	镬
qawk	𨱏
qawy	𫟹
qayb	邸
qayg	鸱
qayi	氐
qayy	𬬩
qbpk	迎
qbcc	镊
qbg	铒
qbh	钌 卬
qbhf	眢
qblg	锰
qbnu	怨
qbqg	鸳
qbsk	锕
qcb	色
qcgh	铎
qci	勾
qcn	钯
qcnk	𫔎
qcyy	钗
qdyo	然
qdbb	危
qdbm	𬱟
qdcy	钹
qdeg	铕
qdfa	锛
qdg	钴
qdhd	锲
qdhv	𬭬
qdhy	钚
qdny	铖
qdpy	𫟼
qdsk	锜
qdtf	铸
qdui	镣
qduw	镢
qdwy	詹
qdyy	钛
qehg	解
qefy	锊
qeg	钥
qegc	锾
qege	锄
qehj	角 触 蟹
qehc	锼
qehf	斛 觟
qehi	觫
qehk	觭 觿
qehl	觯
qehp	邂
qehq	觥
qehr	觞
qehw	觖
qehy	觚
qeqg	鹐
qet	钐
qfxy	钱
qffg	𫓯
qfg	钍
qfh	针
qfhw	镇
qfkk	𬭳
qflg	镭
qftj	锗
qftn	铐
qftx	铑
qfwy	𫓧
qgbh	印
qgac	鳠
qgae	鳓
qgah	钘
qgaj	铏
qgas	鲽
qgaw	鲯
qgbn	钝
qgbc	鲰
qgce	鲹
qgcf	铚
qgch	鲬
qgck	鲐
qgcn	鲃
qgdy	鱿 鲅
qgde	鲔
qgdj	鲕 䲠
qgdn	鳡
qgdw	鳜
qgey	铺 匍
qgef	镈
qgeg	锖
qgem	鳐
qgeq	鲵
qgf	鱼
qgff	鲑
qgfj	鳍
qgfk	鲒 𬶮
qgfm	鲼
qgft	鲮
qgfv	鳕
qgge	鲭
qggf	鲆
qggi	𬶠
qggj	𬶟
qggl	鲾
qggn	鲀
qggr	鲠
qggy	鲡
qghn	钙 鲈
qghc	鲏
qghd	鲱
qghg	钲
qghk	鲇
qgic	鲿
qgiy	𨱇
qgjf	鲁 鲤 鲥 鲣
qgjc	鳗
qgjh	鳀 𫚕
qgjj	鲳
qgjl	鳁
qgjn	鳎
qgjx	鲲
qgkn	鳄
qgkg	铻
qgkh	镉
qgkl	匐
qgln	鳃
qgld	鲴
qgle	鳂
qgli	鳏
qglp	鲢
qgmg	鲉
qgmj	鲗
qgmk	鲷 鲖
qgmu	鳢
qgnf	鳚
qgnj	鲺
qgnn	鱾
qgnr	鳛
qgny	钺
qgoh	鳞 鳙
qgoi	𩾌
qgoy	铼
qgpq	鲩
qgpv	𩽾
qgpx	𬶍
qgqn	鲍
qgqb	䲟 𬶏
qgqi	𬶐
qgqk	𬶋
qgqq	𩾃
qgrg	鳇 鲌
qgri	鳈
qgrk	鲘
qgsi	鳔
qgtf	鲊
qgti	鲧
qgtn	鳤
qgto	鳅
qgts	鲦
qgty	稣 鿏
qgug	鲜
qgud	铗
qguf	鳟 鳉
qguk	鳝
qguo	鳒
qgvb	鲫
qgvf	鲟
qgvk	鲪
qgvl	鲻
qgvn	𫚭
qgvt	鱽
qgwf	鲋
qgwc	鲙
qgwi	𬶭
qgyi	鲸
qgya	鳊
qgyg	鳣
qgyj	鲚
qgyr	鲛
qgyt	鲂
qgyy	钰 鳑
qhy	外 钋
qhcy	铍
qhg	钼
qhkg	钻
qhnt	𬬻
qieg	销
qidm	𫖯
qifc	鼗
qigy	玺
qihc	𬭛
qii	兆
qimy	锁
qinr	铴
qipi	逃 迩
qipf	镗
qipq	镋
qitt	钞
qiu	尔
qivg	铛
qjd	旬
qjbh	郇
qjcf	铿
qjfg	锂
qjgf	锝
qjgg	钽
qjh	钊
qjhh	𬬹
qjlc	镘
qjnb	龟
qjqr	锡
qjsy	锞
qjxx	锟
qkf	名
qkd	句
qkeu	象
qkeg	𫓶
qket	劬
qkgg	锃
qkh	钏
qkhh	钟
qkkg	铝
qkkn	锷
qkmw	锅
qkmh	铞
qkqq	够
qkqb	免
qkqe	勉
qkqg	鸲
qkqp	逸
qkqy	兔
qkwy	雊
qld	甸
qldg	锢
qldy	铟
qlfo	𬭶
qlg	钿
qlge	镮
qlh	钾
qlny	锶
qlpy	链
qlqy	锣
qlqj	镯
qmu	负
qmdu	奂
qmee	镚
qmg	铀
qmgk	铜
qmjh	铡
qmnn	铠
qmry	钢
qmwy	钠
qmwt	夐
qmy	钡
qnrc	饭
qnaq	饶
qnad	馍
qnag	馑
qnat	馓
qnbg	饵
qnbm	饳
qnck	饴
qndg	锯
qnev	馁
qnec	馊
qnfy	饯
qnfb	饽
qnfl	馌
qngd	乌
qngb	邬
qnge	馕
qngi	𫗧
qngn	饨
qnhf	钮
qnhg	镅
qnjy	蚀
qnjc	馒
qnjh	刨
qnjs	馃
qnjx	馄
qnkm	馈
qnme	馉
qnn	钇 钆
qnnk	饲 锔
qnnr	饧
qnnw	馔
qnpn	馆
qnqw	饮
qnqe	馅
qnql	馏
qnqn	饱
qnqu	馋
qnrn	饩
qnrt	钖
qnsg	馇
qnth	饰
qntd	饫
qnte	饬
qntf	饪
qntk	饷 饹
qntt	铋
qnty	饿 䥽
qnua	饼
qnuf	馐
qnv	包
qnwn	饥
qnwe	镠
qnwk	饸
qnxn	铌
qnyr	饺
qnye	饻
qnyg	𫗴
qou	炙
qoac	镀
qogw	镤
qono	镳
qooy	锬
qoqh	𬭸
qouo	镰
qovg	镂
qovh	镛
qoy	钬
qpgh	锭
qpdc	𬭎
qpge	镓
qpgw	夤
qprw	镔
qpvg	铵
qpwh	镩
qpwi	镲
qpwk	镕
qpxn	铊
qqu	多
qqcy	钩
qqcn	铯
qqgj	镥
qqiy	铫
qqkg	铭
qqky	镵
qqng	钨
qqqq	金
qqqf	鑫
qqrn	锪
qqtb	铆
qqug	钧
qqvh	铮
qqwy	钦
qqyy	钓
qqyl	镏
qrwy	铁
qrbk	匈
qrcy	钣
qre	勿
qrfm	锧
qrg	铂
qrgg	锽
qrh	𬬱
qriy	铢
qrjh	刎
qrmh	锦
qrnu	忽
qrqw	锨
qrsy	铩
qryi	匆
qsh	钉
qsfi	镖
qsfg	𬭊
qsgg	钵
qsjf	镡
qsyy	𬬸
qtn	儿
qtaj	猎
qtad	狨
qtae	獴
qtal	猫
qtay	獾 𬬮
qtbn	犯
qtbh	卯
qtbi	狲
qtbl	猛
qtbt	锈
qtcg	犸
qtcq	狁
qtcs	猱
qtct	狻
qtdh	锋
qtdd	猰
qtde	猢
qtdg	狉
qtdi	獠
qtdk	猗
qtdw	獗
qtdy	犹
qteg	狙
qtem	猺
qteq	猊
qtfj	猪
qtfc	铥
qtfe	猿 锸
qtfg	锤
qtfh	钎 犴
qtfk	锆
qtfp	铤
qtfq	铣
qtfs	橥
qtgg	狂 𫛭
qtgd	狭
qtge	猜
qtgf	锺
qtgm	獭
qtgp	逛
qths	镍
qthc	玃
qthw	猇
qtjy	独
qtjf	狸
qtjg	猩
qtjh	狮
qtjj	猖
qtkg	铬
qtke	狷
qtle	猥 猬
qtlh	狎
qtlq	猡
qtme	猾
qtmj	猯
qtmy	狈
qtnf	狃
qtni	铄
qtnm	峱
qtny	夕
qtoy	狄 锹
qtol	𫔍
qtop	逖
qtot	犷
qtps	狞
qtpf	狩
qtqk	狗
qtqg	獬
qtqh	狰
qtqi	狝
qtqn	狍
qtry	狐 锇
qtsg	猹
qttj	猁
qtto	獯
qtuf	獐
qtuq	獍
qtve	狠
qtvb	卿
qtvn	犰
qtwd	猴
qtwc	狯
qtwg	猃
qtwj	㺄
qtwk	猞
qtws	狳
qtxj	狒
qtxf	狴
qtxi	猕
qtye	狼
qtyf	猝
qtyg	狺 𬸚
qtyi	猄
qtyr	狡
qtyy	狱
qud	匀
qudb	锩
quep	𬭼
qufh	锌 钭
qugd	镁
quga	锎
qugi	镧
qujq	镜
qujg	锏
qujn	镱
qukq	锐
qukg	锫
qumt	𬭯
qun	钔
quoj	镨
quqf	锵
qusf	𨱔
qutt	铲
quwl	镒
quxt	锑
quxx	镃
qvhj	争
qvbh	邹
qvey	银
qvf	刍
qvg	钕
qvgp	键
qvhc	皱
qvkg	铷 𬬿
qvlg	锱
qvln	镴
qvnu	急
qvpc	锓
qvto	煞
qvwy	雏
qwu	欠
qwcn	𬭩
qwdc	锻
qwgg	铨
qwgk	铪
qwgr	镎
qwgu	镫
qwkg	铅
qwnd	𬭤
qwwf	锉
qwxf	铧
qwxn	𬬭
qwyc	铃
qwyb	镌
qwye	飧
qwyg	锥
qwyn	钤
qwyy	钒
qxxr	锴
qxjm	镄
qxkj	镪
qxy	𬭁
qyi	久 勺
qyck	锍
qycq	铳
qyd	訇
qyey	铱
qyke	镶 锿
qykb	𬭚
qykk	镐
qykt	镦
qymh	铈
qyng	鸟
qync	鹱
qyne	袅
qynm	岛
qyns	枭
qynw	凫
qynx	鸵
qyou	灸
qyt	钫
qytb	孵
qytd	镞
qyty	卵
qyuy	镑
qyud	镝
qyvl	留
qyve	锒
qyvg	鹠
qyvm	贸
qyvp	遛
qywr	铰
qywn	钪
qyxy	铉
rqyy	的
ray	找
raay	拭
rab	皂
radr	撕
radn	揕
raet	撒
rag	扛
rajg	措
rajd	摸
rajv	揠
ralg	描
rang	拒
ranw	拣
rape	捞
rary	抠
ratq	挠
rawk	搭
raws	搽
rawy	拱
rbcy	报
rbbh	揶
rbcc	摄
rbig	拯
rbk	凶
rbmh	拙
rbt	扔
rcn	把
rccc	掇
rccs	搡
rccy	㧐
rcde	掺
rceh	捅
rcgh	择
rci	反
rckg	抬
rcnh	抒
rcns	揉
rcpi	返
rctd	挨
rcwy	摊
rcyi	瓜
rcyj	搔
rcyw	瓞
rdfe	振
rdbn	扼
rdcy	拔
rdcb	郄
rdef	肴
rdfh	拜
rdfi	捺
rdfj	皋
rdfn	挎 翱
rdg	拓
rdgn	撼
rdhd	揳
rdhy	抔
rdjn	掩
rdmh	希
rdmb	郗
rdmy	颀 瓻
rdny	扰
rdpy	挞
rdsk	掎
rdui	撩
rduw	撅
rdwg	捧
rdwd	揍
rdwe	摏
rdxy	拢
rerm	摇
refy	捋
regc	援
rehh	拥
rehc	搜
relf	皭
repc	授
rfmi	质
rfcy	技
rffy	持
rffg	挂
rffn	摴
rfhd	盾
rfh	扞
rfhp	遁
rfjf	擀
rfkg	拮
rfkm	撷
rflg	擂
rfny	抟
rfpy	挝
rfqn	抚
rftn	拷
rfwy	扶 攉
rfwl	撵
rgkd	后
rgbh	邱
rgbn	扽
rgbv	卮
rgcj	捯
rgd	丘
rgdn	掭
rgef	搏
rgey	捕
rgf	皇
rgkb	郈
rgke	攮
rgkf	垕
rgkg	捂
rgkp	逅
rgmj	岳
rgpd	遑
rgsy	抹
rgtr	乒
rgud	挟
rguf	抨
rgvh	捷
rgwu	兵
rgyu	乓
rhfk	年
rhae	掳
rhag	䴘
rhan	摅
rhaw	虒
rhbh	卸
rhcy	披
rhdd	排
rhf	看
rhg	扯
rhgh	拤
rhhc	攫
rhjf	掉
rhkg	拈
rhy	扑
rhyc	爬
rhyi	爪
rii	朱
rian	㧟
ribh	邾
rieg	捎
rigq	㿠
ripq	搅
ripr	撑
ritt	抄
riu	泉
rivg	挡
rjgh	提
rjbc	撮
rjfg	捏
rjfh	捍
rjgg	担
rjh	刈
rjhh	抻
rjqn	揭
rjtq	揽
rjxt	拽
rkmy	损
rkbg	揖
rkcn	挹
rket	拐
rkeg	捐
rkej	捌
rkg	扣
rkhy	捉
rkks	操
rlfc	摆
rldn	摁
rlgh	舞
rlge	擐
rlgy	掴
rlh	押
rlqj	斶
rlsy	捆
rltk	撂
rlxi	摞
rmhj	制 帛
rmay	罐
rmag	缸
rmdj	揣
rmg	抽
rmhf	罅
rmhr	掣
rmk	缶
rmmv	撄
rmnw	缺
rmnn	皑
rmwy	摧
rnb	气
rnan	抿
rnae	搌
rnbm	掘
rnbr	氖
rnbt	撖
rnca	氢
rndg	据
rndq	氪
rngf	握
rngb	挪
rnge	氰
rngg	氩
rnhf	扭
rnjj	氘
rnjl	氲
rnkj	氚
rnld	氤
rnmj	氙
rnn	扎 癿
rnnw	撰
rnoo	氮
rnpv	氨
rnrh	所
rnrt	扬
rnty	拨
rntr	氕
rntu	氡
rnug	氧
rnua	摒
rnvi	氯
rnwv	氛
rnwy	抉 擢
rnxj	氟
rnyw	拟 氦
rot	扩
roao	摭
rohk	掂
rooy	掞
rovg	搂
rovk	搪
rovt	擞
rpk	近
rpd	迫
rpfq	皖
rplh	挥
rprw	摈
rpsh	拧
rpta	挓
rpvg	按
rpwa	控
rpwh	撺
rpwi	擦
rpwn	挖
rpws	探
rqmd	换
rqay	抵
rqan	扺
rqbh	抑
rqci	鬼 魅
rqcc	魑
rqce	魈
rqcf	魁
rqcn	魍
rqcw	魉
rqcy	魃 魆 魋
rqeg	掐
rqgj	撸
rqiy	挑
rqkq	挽
rqkg	拘
rqku	搀
rqnn	抱
rqnq	兜
rqoy	掬
rqqw	揿
rqrm	掏
rqvh	挣
rqwy	欣
rqym	捣
rrh	折
rrcy	扳 皈
rrdf	皞
rrg	拍
rrhw	搋
rrhy	抓
rrju	蜇
rrjf	晢
rrkf	哲
rrkh	踅
rrpk	逝
rrqw	掀
rrqc	魄
rrrr	白
rrrf	皛
rrtf	捭
rru	爻
rryy	拆
rryf	誓
rryt	皦
rsh	打
rsay	弑
rsfi	摽
rsjh	刹
rsjg	揸
rsu	杀
rtgh	手
rtan	托
rtbn	拖
rtdg	括
rtec	搬
rtfe	插
rtfb	郫
rtfg	捶 鹎
rtfh	扦
rtfj	卑
rtfk	皓
rtfm	攒
rtfn	撬
rtfp	挺
rthi	攥
rthf	拃
rthj	擤
rtol	播 皤
rtoy	揪
rtth	斤
rty	乂
rug	拉
ruah	拼
rube	搠
rudg	拦
rudb	掷
rufh	抖
ruga	搓
rugh	拌
rujf	撞
rukg	掊
rulh	掸
rumt	撇
run	扪
rusf	撙
rutk	搁
ruvg	接
ruvo	搛
rvyo	热
rvet	抛
rvfy	挦
rvg	扫
rvkg	招
rvnc	殷
rvqy	拶
rvtk	捃
rvye	势
rvyf	垫
rvyg	鸷
rvyi	絷
rvyj	蛰
rvym	贽
rvyr	挚
rvyy	执
rwi	失
rwbn	抢
rwcy	投
rwfy	拊
rwgk	拾
rwgd	揆
rwgg	拴 捡
rwgj	揄
rwpi	迭
rwvt	扮
rwvr	掰
rwwf	挫
rwxn	抡
rwy	扒
rwyb	携
rwyc	擒 拎
rwyg	推
rwyn	捻
rxjg	指
rxet	拗
rxfm	掼
rxge	掾
rxjh	拂
rxuu	搦
rxxn	批
rxxr	揩
rxy	拇
rynt	护
ryct	撤
rygg	拄
ryhy	抃
ryi	斥
ryjh	挤
rykk	搞
ryke	攘
ryki	掠
rylg	擅
ryne	掮
ryny	捩
ryrc	摛
rytp	邀
ryty	敫 㧑
ryud	摘
ryup	擿
ryuy	搒
rywn	抗
rywf	捽
rywr	皎
rywy	掖
ryxf	摔
ryxl	搐
svf	要
sajd	模
saah	械
saay	栻
sabh	栉
sadw	棋
sadn	椹
safg	柑
sag	杠
sagg	框
sahd	榧
saiy	栋
saif	欂
sajg	棤
sakg	槿 棫
samw	横
sang	柜
sans	楪
sape	檬
saqy	柩
sary	枢
satq	桡
sayy	杙
sbf	李
sbbh	椰
sbcl	楹
sbde	椭
sbyy	极
scy	权
sceh	桶
scfy	树
scfg	柽
scgg	杩
scn	杷
scnh	杼
scnk	橘
scnn	懋
scns	楙
scwt	梭
scyy	杈
sdmy	顶
sdet	枥
sdg	枯 柘
sdgf	橱
sdhy	杯 槭
sdhd	楔
sdsk	椅
sdtb	梆
sdtf	梼
sdui	橑
sduw	橛
sdwg	棒
sdwj	椿
sdwt	榛
sdxy	栊
sdyy	杖
sdy	杕
seeg	棚
sebg	桴
seg	桕
sekg	枷
set	杉 朸
sfy	村
sfbh	鄄
sfcy	枝 㭕
sffg	桂
sffn	樗
sfg	杜
sfgy	甄
sfh	杆
sfhg	植
sfhy	樾
sfiu	票 柰
sfij	剽
sfir	飘
sfiy	标 瓢
sfkg	桔
sflg	檑
sfmf	楠
sfnd	椟
sfny	梽
sfpb	桲
sfqw	歅
sftt	材
sftj	楮 榰
sftn	栲
sftx	栳
sfuk	樯
sfwt	棱
sfxy	栈
sgd	本 酉
sgaj	醋
sgaf	酣
sgag	醛
sgah	枅
sgbn	酏
sgct	酸
sgcf	桎
sgde	醐
sgdg	酤
sgdl	醢
sgdy	酞
sgef	酹 榑
sgey	椓
sgfb	酵
sgfc	酝
sgfh	酐
sgfy	酎
sgg	枉
sggd	酽
sggy	酾 酺
sgh	丁
sghe	醵
sghg	西
sgjg	醒 桓
sgjh	醍
sgjn	橞
sgjr	梗
sgjx	醌
sgkg	梧 酲
sgli	楝
sgmj	槽
sgmk	酮
sgmu	醴
sgmw	柄
sgnn	配 朽
sgne	醪 醑
sgny	酦
