aaa	工
nuce	买通
nuck	飞驶
nudu	买
nuda	飞碟
nudb	惓
nudf	飞奔
nudh	慻
nudn	买成
nudo	飞灰
nudt	收效甚微 屡次三番
nudv	恼羞成怒
nudw	买春
nudx	飞龙
nueb	悦服
nueg	憪
nueh	习用
nuen	飞鼠
nueq	㦦
nuer	飞狐
nueu	飞腾
nuew	买办
nuey	㥞
nuf	翌
nufc	飞去
nufh	飞越 买走 飞赴 飞起 飞走 怑
nufj	买进
nufn	买卖
nufp	飞过
nufs	飞霜
nufv	飞雪
nug	翋 㥃
nuga	习武 心病还须心药医
nugc	买到
nugd	飞天
nuge	愣头青
nugg	眉头一皱，计上心来
nugh	买下
nugl	㦈
nugo	买来 憎恶 飞来
nuhh	悦目
nuhk	买点
nuhv	飞眼
nuhx	买些
nuia	飞鸿
nuic	民意测验
nuig	飞沫
nuij	飞瀑
nuim	飞溅
nuio	飞渡
nuip	飞泻
nuis	飞洒
nuiv	习染
nuix	飞涨
nujf	惮 憧
nujd	翌晨
nujg	习题 愔
nujh	飞虫 慞
nujj	翌日
nujn	憶
nujr	飞蝗
nujt	飞蛾
nukq	悦 飞吻
nuk	屖
nukg	㥉
nulj	憎 層
nulf	慰问团
nulg	飞车
nulk	飞回
nult	飞跃
nulw	飞轮
numa	飞贼
numr	屏风
numt	买账
numw	买肉
nuna	悯惜
nune	愣头愣脑
nunj	憧憬
nunn	飞快
nunt	习性
nunu	尽善尽美
nunv	憎恨
nunx	习惯
nuny	㦖
nuoa	飞度
nuon	买断
nuow	飞鹰
nupb	习字
nupg	买家
nupk	遟 遅
nupn	买官
nupy	㥬
nuqg	飞鸟 飞鱼
nuqn	买饭
nuqs	飞镖
nurb	飞报
nurd	改头换面
nurf	飞遁
nurh	飞扑
nuri	飞泉
nurl	飞舞 心慈手软
nurn	飞扬 习气 屏气
nurq	飞抵
nurr	飞逝
nurt	买手
nury	飞掠 恔
nusd	㞟
nusf	买票
nusg	买醉 㥢
nusk	飞速
nusl	㦨
nusm	飞机
nuso	买楼
nusq	飞檐
nuta	飞升
nutd	愱
nute	飞船
nutg	飞行 㦃
nuth	屏息 飛 飝
nutj	习得
nutk	屫
nutl	翌年
nutm	飞向 飞身 飞射
nutw	壁立千仞
nutx	性关系
nuty	飞往 买入
nuuu	羼
nuue	劈头盖脸
nuuh	买着
nuuj	买单
nuun	飞翔
nuvo	慊
nuvb	买好
nuvf	翣
nuvk	飞絮
nuvn	飞刀
nuwg	飞侠
nuwi	飞剑
nuwk	飞鸽 屏保
nuwt	习作
nuww	习俗 买价
nuwx	买货
nuwy	飞禽
nuxt	悌
nuxa	飞红
nuxu	飞弹
nuxw	懻
nuxx	情意绵绵
nuyy	悯 憫
nuyg	买主
nuyn	买房
nuyq	买方
nuyr	飞离
nuyt	飞旋
nuyv	懩
nuyx	刷新率
nvy	恨
nvv	尻
nvaq	慨
nvaf	憳
nvba	恍如隔世
nvcy	怓
nvda	屡建奇功
nvdw	恰如其分
nvdy	敢怒而不敢言
nvfg	㦎
nvfh	忰
nvfj	翆
nvg	妀
nvgd	心如死灰
nvgk	恨事
nvgq	恨死
nvhi	心如止水
nviy	㥆 䎑
nvkg	怊
nvkc	慨叹
nvlo	快刀斩乱麻
nvni	惟妙惟肖
nvnv	恨恨
nvpl	舝
nvqd	慨然
nvra	心灵手巧
nvt	忉
nvtb	恨透
nvtr	惱
nvuh	恨着
nvuj	恨意
nvvi	丑媳妇总得见公婆
nvvp	心如刀割
nvvx	心如刀绞
nvwu	尽如人意
nvyi	㞍
nvyy	㣼
nwpy	怜
nwej	愉 惟独 剹
nwab	情人节
nwad	恰若
nwag	恰巧
nwam	惟恐
nwbn	怆
nwcy	忪
nwcf	情何以堪
nwcn	慃
nwcq	恱
nwdh	戳破
nwdw	惟其
nwea	戮
nweb	鄝
nwed	㞕
nwee	勠
nweg	鹨
nwel	惟有
nwem	顟
nwen	勠力 戮力
nweo	鷚
nwep	怜爱 䢧
nwer	翏
nwex	心余力绌
nwey	雡
nwfi	憏
nwfu	飞禽走兽
nwfy	㤔
nwgg	惟一 恮
nwgh	尸位素餐
nwgu	憕
nwhy	情人眼里出西施
nwi	夬 乆
nwii	发人深省
nwil	发人深思
nwip	局促不安
nwiv	恰当
nwjg	恰是
nwjh	刔 忦
nwjm	恰遇
nwjw	惟命是从
nwkg	恰
nwkm	司令员
nwkq	悅
nwkw	憸
nwlj	懀
nwma	惀
nwmj	异途同归
nwna	怜惜
nwnc	丑八怪
nwnd	翭
nwni	敢做敢当 敢作敢当
nwnn	愉快 尽信书不如无书
nwno	敢作敢为 敢做敢为
nwnt	怜恤
nwnu	怜悯 愉悦
nwnw	恰恰
nwny	憔悴 快人快语
nwon	忴 惗
nwok	㤷
nwpb	异体字
nwpg	剧作家
nwpn	司令官
nwpu	䎆
nwpw	心领神会 戳穿
nwqd	怆然
nwqo	鴂
nwsy	恘 悇
nwtd	恰逢
nwtf	㤛
nwug	性命关天
nwuk	司令部
nwuu	性命交关
nwvb	恰好
nwvk	恰如
nwvt	翂 㤋
nwwf	恰值
nwwg	懺
nwwh	慢悠悠
nwwn	恰似
nwwu	性命攸关
nwxt	尽人皆知
nwxx	性价比
nwyg	惟
nwya	戳
nwyc	愯 㪬
nwyf	翟 昼伏夜动
nwyj	必修课
nwyk	愴
nwyn	戳记 懏
nwyo	憔 鸐
nwyp	䢰
nwyv	䬤
nxv	尼
nxmy	惯 慣
nxaj	惯匪
nxbg	㥝
nxcy	惯骗
nxdx	尼龙
nxeb	羽绒服 惯犯
nxeh	惯用
nxem	屁股
nxes	尼采
nxet	怮
nxey	㥟
nxfg	惯坏
nxfh	屁颠
nxg	憴
nxgc	尼玛
nxgf	惯于
nxgk	屁事
nxgo	尼亚
nxgx	改弦更张
nxgy	心比天高
nxhv	屁眼
nxhw	愼
nxip	惯常
nxiu	迟疑不决
nxjh	怫
nxjd	㞓
nxjg	恉
nxjl	改弦易辙
nxma	惯贼
nxnt	惯性
nxov	尼康
nxpf	必经之地
nxpq	惊弓之鸟
nxpv	迡
nxpw	惯窃
nxqd	怫然
nxqo	䲿
nxrf	惯技
nxtf	慎终追远
nxth	懝
nxtq	惯称
nxuh	收费站 惯着
nxuq	惯盗
nxuu	愵
nxux	恃强凌弱
nxuy	惯养
nxvd	尼姑
nxvn	心细如发
nxwg	惯例
nxwp	惨绝人寰
nxww	惯偷
nxwx	情绪化
nxxv	屁
nxxf	悂
nxxj	蠿
nxxw	惯纵
nxyt	屁话
nxyx	惤
nyiy	惊 憱 翞
nyae	心散
nyaf	心甘
nyaj	迟暮
nyam	惊恐
nyan	惊世
nyav	心切
nyax	心药
nybb	尺子
nybg	惇
nybh	悙
nybk	尽职
nybm	惊出
nybn	忙了 恼了
nybt	憞
nybw	惊险
nyce	㥔
nycm	层峦叠嶂
nycq	尽欢 㤝
nycy	惊骇
nydc	尺码
nydg	心硬
nydh	惊艳
nydo	心灰
nydr	心愿
nyds	惊奇
nydu	惊厥
nydv	忙碌
nydy	心态 心碎
nyeb	心服
nyef	心肝
nyeg	心肺
nyej	心胆
nyem	心肌
nyen	尽力 心肠
nyeo	心脏
nyep	心爱
nyeq	心胸
nyer	心脾
nyet	心腹
nyev	心狠
nyfa	心裁
nyfb	心地
nyfc	心动 惊动 惊魂
nyfh	惊起
nyfk	惊喜
nyfl	惊雷
nyfn	心声 心志
nyfq	心坎
nyft	尽孝
nyfu	心境
nyfy	尺寸
nygc	迟到
nygd	惊天
nyge	心静
nygf	忙于
nygh	心下
nygj	心理
nygk	心事
nygm	尽责
nygo	迟来
nygq	心死
nygy	翠玉
nyhy	忭
nyhh	心上
nyho	心虚
nyhv	心眼
nyhw	眉高眼低
nyi	尺 㣺 乄
nyia	惊鸿
nyid	惊涛 屡试不爽
nyif	心潮 心法
nyig	居高不下 迟滞
nyip	惊觉
nyit	忙活
nyiw	尽兴
nyjg	昼 尽量 尽是 居高临下 㥫
nyja	尺蠖
nyjf	心里 懠
nyjh	迟早 尽早
nyjj	昼日
nyjn	心电
nyjo	尽显
nyjv	心照
nykw	咫
nykc	惊叹
nyke	懹
nykg	惊吓 悋
nykh	心中 尽忠
nykk	心口
nykm	书记员
nykn	惊叫
nyks	惊呆
nykt	惊呼
nyli	懔
nyle	懷 懐
nylf	心黑
nylg	憻
nyll	心田
nylm	心轴
nyln	心思
nylq	心跳 心软
nylt	懍
nyma	心曲
nyme	尺骨
nymk	翯
nymn	忼
nymr	惊风
nynn	忙 尽快
nyna	惊慌 惊异 心慌 惼
nynd	悷
nyng	心情 尽情 心怀
nynh	惊惧
nyni	怺
nynj	迟慢
nynk	惊愕 㤺
nynl	惊愣
nynr	惊惶
nyns	惊悚
nynt	心悸 心性
nynv	恼恨
nynw	㤥
nyoa	尺度
nyoc	㦪
nyod	心烦
nyoo	恼火
nyoq	心底
nyos	心魔
nyov	尽数
nypi	迟
nypa	心寒 心宽
nypg	心室
nypv	心安
nypw	心窝
nypy	心神
nyqc	翠色
nyqd	尽然
nyqg	迟钝 翠鸟
nyqi	心锁
nyqn	心包
nyqv	心急
nyrb	恼
nyrd	惊扰
nyrn	心气
nyrr	心魄
nyrv	惊蛰
nyrw	尽失 心高气傲
nysc	发言权
nysg	惊醒 心酸 心醉
nysh	心想
nysk	尽可
nysm	心机
nysr	翠柏
nyss	惊梦
nysy	心术
nyt	㤃
nytd	心智 忙乱
nytg	心生
nyth	翠竹 迟延 心算
nytj	心得
nytl	心血
nytm	翠微
nyto	惊悉
nytp	尽管
nytu	忙乎
nytv	心律
nytx	心系
nyuu	尽
nyub	惊闻
nyuc	心痛
nyud	心头 尽头
nyug	心病
nyuh	忙着
nyuj	心意
nyut	心疼
nyuw	心冷
nyuy	心凉
nyvc	恼怒
nyvk	心如
nyvo	心灵
nyvy	悢
nywf	翠 悴
nywp	心领
nyww	惊人
nywy	心仪
nyxc	心经
nyxe	迟缓
nyxf	心绪 心结
nyxl	心细 慉
nyxm	羽扇纶巾
nyxt	迟疑 惊疑
nyxv	翠绿
nyxy	心弦 怰
nyy	忟
nyya	惊讶
nyyb	尽享
nyyf	心计
nyyg	心语
nyyk	迟误
nyym	心高
nyyn	心扉 心房
nyyo	心迹
nyyp	惊诧
nyyt	心旌
nyyw	昼夜
nyyx	心率
nyyy	民族主义
oyty	为 米
ossc	魔 麽 黀
ogd	业
oaci	度
oamh	席
oaab	遮荫
oaad	遮藏
oaae	烧菜
oaag	烒
oaai	遮蔽
oaax	炼药
oaay	烧荒
oabb	炎黄子孙 席子
oabe	遮阴
oabj	遮阳
oabm	烧出 庶出
oabn	烧了
oabq	烧陶
oacj	剫
oacq	烧鸡
oadd	烧碱
oadg	煤厂
oadi	煤耗
oadn	烧成
oado	煤矿 煤灰
oadq	鹧鸪
oaea	烧毁
oaeb	炼乳
oaec	粪肥
oaet	糤
oaey	炼狱 烧脑
oafs	煤
oafb	席地
oaff	粪土
oafg	烘干 烧坏 粓 㶰
oafn	火葬场
oafp	度过
oaft	烧煮
oafw	煤堆 粪堆
oafy	粪坑
oag	灴 䉺
oagc	烧到
oage	粪青
oagf	煤球 燁
oagt	烧麦
oagx	麻黄素
oaha	遮瞒
oahf	熞
oahh	席上 烥
oahj	㷹
oahl	爁 糮
oahm	炼制
oahq	爦
oaht	庌
oai	㡲
oaib	粪池
oaif	煤尘
oaii	烧水
oaim	炼油 煤油
oaiq	迷惑不解 粗茶淡饭 遮光
oais	烧酒
oait	广东省
oaiy	㶹
oaj	灷
oajc	燤 䊪
oajd	庴 糢 㷬
oajg	度量 焟
oajj	度日 爡
oajl	炼蛊
oakg	廑
oake	㢙
oakf	火药味
oakh	煂
oakk	炼器 熰
oakw	熯
oaky	爟
oald	庿
oalg	煤车
oalh	遮罩
oall	煤田
oaln	㢜
oamb	鄺
oamd	煤炭 煐 㢍 䊔
oamf	煹
oamn	懬
oamt	庶几
oamw	廣 焫 熿 䊣
oamy	炼丹 熕 䊟
oang	炬 粔
oana	庶民
oanf	煤层 遮丑
oani	煤屑
oans	煠 㮡
oanw	炼
oany	烧心 庹
oaoi	庶
oaoa	烘烘
oaof	烧烤 烘烤
oaog	鹧
oaoj	䗪
oaol	煤烟
oaoo	烧火 鷓
oaop	遮
oaoq	烧灼
oaor	㫂
oaou	烘焙
oaov	度数
oaoy	煤炉
oapj	庆功宴
oapk	䢠
oapu	烘衬
oapw	烧穿 煤窑
oaqg	烧钱
oaqh	廗
oaqj	熸 糣
oaqm	炼钢
oaqn	烧饼 烧饭 烧包 燪
oaqq	炼金
oaqr	炼铁
oaqy	烵
oard	遮掩
oarf	煤质
oarh	烧掉
oari	遮挡
oarn	煤气
oart	烘托
oaru	遮拦
oasc	粪桶
oasg	烧杯
oatq	烧
oate	庶务 糒
oatj	烧香
oatr	烧鹅
oats	烘箱
oaua	烧瓶
oaud	席卷
oauf	糚
oaug	遮盖
oauj	席间
oaul	爤 糷
oaun	遮羞
oauq	席次
oavi	烧录
oawy	烘 遮住 烧焦 炼焦 粠
oawu	粪 席位 烡
oawf	庆功会
oawg	粪便
oawn	度假
oawo	爑
oawt	烧伤
oaww	庶人 庻
oawx	炼化 糀
oaxa	灯芯绒
oaxf	烧结
oaxn	庶母
oaxq	烧纸
oaxu	烟幕弹
obg	籽
obh	邝 邩
obbb	㸎
obfi	精卫填海
obfn	康乃馨 廰
obft	应聘者
obgn	廳
obhl	邺
obmh	炪
obn	灺
obou	籽粒
obsk	㢌
obwc	廕
obxb	鬯 断子绝孙
ocjk	序 燏
ocn	粑
ocag	烃
ocaj	序幕
occe	糝
ocde	糁
ocdw	烃基
oceh	㷁
ocep	熥
ocgq	序列
ocgy	数以万计
ochb	序齿
ochh	序目
oci	広
ocjs	糅 煣
ocjh	㶦
ockg	序号 炲
ocks	㷘
ocma	序曲
ococ	粑粑
ocov	序数
octd	㶼
octy	数以千计
ocvi	应对如流
ocvs	糅杂
ocwk	糅合
ocwt	焌
ocyj	糔
ocyw	序论
ocyy	序言 序文
odu	类
odi	庆
odac	爄 糲
odae	庆功
odap	烦劳
odbc	类聚
odbj	庆阳
odbn	烦了 糊了
odcy	炦
oddd	庞大
odde	庆历
oddm	類
oddr	燎原
oddt	庆寿
odeg	糊 煳 烠
odea	烦腻
odek	庆贺
odep	广而告之
odes	唐三彩
odeu	㷃
odey	粻
odff	煃
odfu	庆幸
odg	炻 䊀
odga	类型 糊弄
odgi	烦琐
odgk	煘
odgo	烦恶
odgq	粝 烦死
odhh	类目 炐
odhi	緳
odht	廈
odip	庵堂
odiw	糊涂
odjn	庵 㷈
odjb	㷞
odjf	糎
odjg	粨
odjs	火龙果
odke	类别
odkk	糊口
odlf	糆
odlk	烦躁
odmy	烦 煩 頪
odma	庆典
odmd	煗
odmg	类同
odmj	糥 粫
odnd	烦忧
odnn	类书
odny	烦恼 烦心 庬
odoa	精确度
odod	糊糊
odoy	烣
odpf	唐太宗
odpm	烦冗
odpy	庆祝
odqq	座右铭
odrd	烦扰
odri	㷧
odrm	唐古拉山 烟灰缸
odrw	类推
odsk	㢊
odtd	烦乱
odth	爏
odui	燎
odud	糊状
oduh	烦着
odun	烦闷
odvs	庞杂 烦杂
odwn	类似 煁 糂 㥷
odwr	燍 廝
odww	烦人
odwy	粸
odxy	庞
odxw	精耕细作
odxx	类比
odyg	烦请
odyy	粀 粏
oegg	粗
oewi	庾
oeac	燬
oead	粗莽
oeaw	粗茶
oebg	粗陋 粰 烰
oece	粗通
oedd	粗大
oedg	粗硬
oedm	粗布
oeeb	迷彩服
oeee	熁 㶸
oeeg	焩 熖
oeem	燲
oeeo	粗犷
oefg	㷐
oefh	粗盐
oegc	煖
oegd	㡹
oeh	㶲
oehc	廋
oehj	㷔
oehk	火力点
oeig	粗浅
oeii	粗沙
oeit	粗劣 粗活
oeiv	粗涩
oeja	粗暴
oejf	粗野
oekp	糙
oekd	㸆
oekf	粗鄙
oekg	粗哑 焅
oekk	粗口
oelf	爝
oelt	粗略
oen	粍
oene	应有尽有 廫
oenh	粗疏
oeny	粗心
oeoe	粗糙 粗粗
oeoy	康有为 粗粮 糙米
oept	燰
oepu	粗实
oeqg	粗鲁
oeqn	粗饭 烍 䊁
oerh	粗看
oerm	熎
oern	粗气
oesh	粗朴
oetd	粗短
oetg	粗重 㽔
oets	粗笨
oeuf	粗壮
oewd	粗估
oews	粗体
oeww	粗俗
oexg	粗线
oexi	粗纱
oexl	粗细
oexy	粗纺
oeyf	粗读
oeyi	精力充沛
oeyn	广告词
oeyp	粗豪
oeyt	粗放 粗话
oeyx	粗率
oeyy	粗言
ofd	庄
oftn	烤
ofaa	烟雨蒙蒙
ofam	燌
ofaq	焼
ofax	迷魂药
ofbb	庄子
ofbl	迷魂阵
ofbm	烤出
ofbp	庄院
ofci	庋
ofck	灶台
ofcl	廅 熆
ofcq	烤鸡
ofdj	糯 燸
ofdg	㷯
ofdt	应运而生
ofdw	席地而坐
ofei	灶膛
ofem	庄股
ofen	米老鼠
offg	烤干 烓
offi	庤
offq	燒
offy	灶坑
ofg	灶
ofgn	断垣残壁
ofgo	庄严
ofgq	烤麸
ofh	籵 㶥
ofho	座无虚席
ofhw	灶具
ofin	迷魂汤
ofis	烤漆
ofje	廟
ofjn	烤电
ofkf	廚
ofkk	熺 糦
ofkw	爧
oflf	庄园
oflq	烤鸭
ofmf	庄周 煵 䊖
ofmw	烤肉
ofnh	炜
ofnf	燽 䊭
ofol	烤烟
ofoo	烤火 灶火 爀
ofoy	糯米 烤炉 焃
ofpb	㶿
ofpg	庄家
ofpu	䊦
ofpy	灶神
ofqv	庑
ofqg	烤鱼
ofqn	烤饼
ofre	烘云托月
oftb	庨
oftf	断井颓垣
oftg	庄重
oftj	烤得
oftp	庄稼 鹰击长空
ofts	烤箱
oftx	粩
ofud	灶头
ofup	燵
ofuq	烤瓷
ofvt	灶君
ofwk	廧
ofwm	㸇
ofwp	燯
ofwt	庱
ofwy	烤焦 㸌
ofy	籿
ofyb	烤熟
ofyg	庄主
ofyi	庒
ofyn	灶房
ogmj	糟 㷮
ogaa	精工
ogag	精巧
ogaj	遮天蔽日
ogak	㢅
ogam	精英
ogay	精芒
ogbn	炖 糟了 庉
ogbb	精子
ogbg	精卫
ogbu	业障
ogce	精通
ogcf	庢
ogdd	业大
ogdg	精研
ogdi	精耕
ogdk	㶺
ogdo	精矿
ogdq	精确
ogds	精奇
ogeg	精
ogef	焐脚
ogen	精力
ogeq	精选
oges	精彩
ogey	烼
ogfc	精魂
ogfg	精干
ogfh	精盐
ogfj	精进
ogfk	㡰
ogfo	烜赫 精赤
ogfq	精元
ogft	业者
ogga	精武
oggc	精致
oggf	精于
oghg	炡
oghm	精制
ogid	精湛
ogim	精油
ogip	精深
ogiq	精光
ogiv	精当
ogiy	精液 炋
ogjr	粳
ogje	精明
ogjf	䊜
ogjg	烜
ogjh	精虫
ogkg	焐
ogkh	精忠
ogkk	精品
ogkl	煏
ogkm	炊事员
ogkp	精囊
ogku	㢄
oglg	糟践
ogli	糟踏
oglj	糟蹋
oglw	业界
ogmw	炳 业内 炖肉
ogme	精髓
ogmh	精帖
ogmx	廲
ognc	精怪
ognj	精悍
ognk	精辟
ognn	业已
ogno	廌
ogny	精心 糟心
ogoa	精度 精炼
ogof	数一数二
ogoo	糟糠
ogor	糟粕
ogou	糟糕
ogoy	精粹 粳米
ogpn	精密
ogpy	精神
ogqt	廒
ogqg	火烈鸟
ogqh	业外
ogqm	精钢
ogqn	精馏
ogqo	煭
ogqu	精锐
ogrb	业报
ogrg	精兵
ogrn	精气
ogrv	焐热
ogsv	精要
ogsy	粖 㶬
ogtb	糟透
ogte	业务
ogth	精算
ogtl	精血
ogtm	精微
ogtu	精简
ogud	精减
ogue	精瘦
oguf	精装 精壮
ogug	精美
oguw	精准
ogva	烴
ogvi	精妙
ogvj	精巢
ogvo	精灵
ogvp	料事如神
ogwf	精舍
ogwh	精修
ogws	业余
ogwv	精分
ogwx	精华
ogxa	精练
ogxc	业经
ogxg	业绩 精纯
ogxl	精细
ogxy	精纺 精编
ogyb	精熟
ogyd	精诚
ogyf	精读
ogyg	业主
ogyl	广开言路
ogyr	精义 鹿死谁手
ogyv	精良
ohkd	店
ohkg	粘 炶
ohbw	粘附
ohdd	䨾
ohdl	店面
ohea	粘膜
oheg	㢒
oheu	粘胶
ohff	粘土
ohga	㸍
ohge	㷾
ohhy	爠
ohia	粘满
ohie	粗制滥造
ohig	粘滞
ohii	火上浇油
ohin	为虎添翼
ohip	店堂
ohiy	粘液
ohjh	焯
ohjf	店里
ohkm	店员
ohle	㢚
ohll	爐 廬
ohln	爈
ohlp	粘连
ohmh	粘贴
ohmw	店内
ohnt	粘性
ohoa	粘度
ohod	店庆
ohpg	店家
ohpr	座上宾
ohpt	座上客
ohqh	火眼金睛
ohqk	店名
ohqn	粯 䙺
ohqo	燦
ohqs	店铺
ohqv	爘
ohta	店长
ohtm	粘稠
ohuy	店门
ohwk	粘合
ohww	粘人 为虎作伥
ohwy	粘住
ohxf	粘结
ohxv	庛
ohxw	断点续传
ohyg	店主
ohyj	粘剂
oid	应
oitt	炒 粆
oiae	炒菜
oibd	应承
oibm	应聘
oice	应能
oicf	应对
oicj	应予
oicq	应允
oicw	应验
oidl	炒面
oidw	廉洁奉公
oieg	焇
oieh	应用
oiel	应有
oiem	炒股
oien	应力
oieo	数不胜数
oifa	烟消云散
oifc	应运
oifg	店小二
oifn	应声 炒卖
oift	应考
oigc	炒至
oigf	应于
oigo	麻婆豆腐
oihk	应战
oihm	应制
oiia	炒汇
oiig	数不清
oiir	应激
oiiv	应当
oijf	应时
oijg	应是
oijh	糊涂虫
oijj	席不暇暖
oijy	应景
oiki	麻雀虽小
oikw	麻雀虽小，五脏俱全
oimb	黹
oimh	应由
oimk	䊑
oims	黼
oimt	糊涂账 廠
oimv	黺
oimy	黻
oinh	应收 炒蛋
oinm	应届
oiny	应尽
oioi	黼黻
oioy	应为 炒米
oipf	糛
oipo	爣
oiqk	炒锅
oiqm	应负
oiqn	炒饭
oiqt	应卯
oiqv	应急
oiqy	炒勺
oire	应援
oirh	炒掉
oirp	应按
oirr	应拍
oiru	应接
oiry	应邀
oisg	应酬
oisk	摩洛哥
oiso	炒楼
oitb	应季
oitd	应知 应敌
oitg	应征
oitj	应得
oitk	应和
oitw	应答
oiuq	应将
oiut	应道
oiuy	应门
oivk	应召
oiwf	应付
oiwt	炒作
oiww	应从
oiwx	炒货
oiwy	熦
oixm	应纳
oixq	应约
oixr	应缴
oixw	应给
oiya	应试
oiyb	炒熟
oiyn	炒房
oiyo	应变
oiyr	应诉
oiyt	应许
oiyy	应该
ojy	烛
ojai	爆
ojaa	焊工
ojaf	熚 爗
ojaq	爆菊
ojaw	烛花
ojbc	熶
ojbm	爆出
ojcf	精明能干
ojck	烛台
ojdd	火冒三丈
ojdg	火电厂
ojdh	爆破
ojdn	火冒三尺
ojdt	数易其稿
ojdy	爆碎
ojeb	爆乳
ojec	爆胎
ojeg	焨
ojfh	焊
ojfb	鄽
ojfd	㢆
ojff	爆款 爆堵 廛
ojfg	粴
ojga	爆开
ojgd	㡺
ojge	爆表
ojgf	糧 㷸
ojgg	炟
ojgh	煶 䊓
ojgq	爆裂
ojgr	煬 糃
ojh	灲
ojhk	焊点
ojia	爆满
ojih	烛泪
ojij	为时不晚
ojiq	烛光 熀
ojjg	焻
ojjj	爞
ojlc	熳 䊡
ojlg	煴
ojmc	庽 㷒
ojnj	为时已晚
ojnt	爆发 㡼
ojoe	爆粗
ojoi	糊里糊涂 爆炒
ojoo	烛火
ojot	爆炸
ojou	爆料
ojpd	焊割
ojqj	焊锡
ojqn	㷎
ojqr	焬
ojru	焊接
ojse	爆棚
ojss	爆栗
ojsw	焊枪
ojsy	粿 㷄
ojta	焺
ojte	焊盘
ojtg	煋
ojth	爆竹
ojtq	度量衡
ojts	焊条
ojtt	爆笑
ojug	煜
ojud	爆头
ojuj	爆音
ojuw	爆冷
ojvo	燳
ojvt	度日如年
ojwb	爆仓
ojwd	爆仗
ojwg	为非作歹
ojxf	精明强干
ojxt	焊缝
ojxx	焊丝 焜 䊐
ojyi	燝
ojyj	焊剂
okks	燥
okwy	炽
okbs	火中取栗
okdn	炽盛
okeg	焆
okex	粗中有细
okgq	炽烈
okkf	粉嘟嘟 燀
okkg	焒
okkk	煰
okmw	㶽
okmy	熉
okng	炽情
okqn	炾
okrl	精忠报国
okrv	炽热 燥热
okwi	㡶
okwn	为中华之崛起而读书
okww	庸中佼佼
olk	库 庫 庘
oldy	烟
olad	库藏
olaj	烟草 烟幕
olar	库区
olau	烟蒂
olaw	烟花 廙 熼 糞
olck	烟台
oldd	烟碱
oldh	库存
oldn	煾
oldo	烟灰
oleg	煟
olf	畨
olfc	烟云
olff	烟土 燡 爅
olfg	烟雨
olfj	糬
olfn	烟霞
olfo	㷵
olft	烟雾
olfy	烟霭
olge	煨 糫
olg	畑
olgf	糰
olh	炠
olhw	烟具
olif	烟尘
olih	烟波
olis	烟酒
olit	烟海
oljd	䊫
olkf	烟叶
olkh	烟嘴
ollu	烟圈
olmw	库内
olna	烟民
oloa	烟煤
olon	为国为民
oloo	烟火
olpe	烟农
olpt	烟客
olpw	库容
olqc	烟色
olqg	烟钱
olqj	燭
olqn	烟馆
olrm	烟缸
olrn	烟气
olrq	烟鬼
olrt	为国捐躯
olsf	烟杆
olsg	烟酸
olsq	烟柳
olsw	烟枪
olsy	焑
oltg	烟熏
oltl	烟囱
oltm	烟筒
olub	烟瘾
olud	烟头 烟卷
oluf	烟斗
oluh	火车站
olul	数罪并罚
olut	烟道
oluu	烟瘴
olvd	廔
olvg	熡
olwa	烟袋
olwf	粉墨登场
olwk	烟盒
olwl	熅
olwx	库仑
olxq	烟纸
olxx	烟丝
olyn	库房
omh	灿 籼
omd	庙
omae	燶
omag	粬
omcy	炈
omdj	煓
omdp	料峭春寒
omdy	炴
omeg	䊘
omft	灼见真知
omg	粙
omgh	䊃
omgk	烔 粡
omho	煽风点火
omip	庙堂
omiq	数见不鲜
omjk	廁
omjx	熴
omkg	炯 庙号
ommg	粣
ommv	廮
omn	籶
omnk	煱 㢐
omom	炯炯
omou	灿烂
omoy	籼米
ompg	庙宇
omqd	灿然
omth	㷨
omtj	煈
omum	焵
omun	焹
omwf	庙会
omwk	烱
omwy	熣 㶧
omxg	精雕细琢
omxy	精雕细刻
omye	烿
omyp	数典忘祖
onrh	断
onwe	廖 熮
onbm	煀
onbn	断了
onbp	为民除害
onbw	废除 断除
ondc	断码
ondk	断石
ondl	断面
ondu	粗心大意
oneb	断乳
onef	断肢
onen	断肠 䊊
onf	炄
onfc	断魂
onff	废土
onfg	粈
onfh	废墟 籸
onfj	廜
onfq	断无
onga	断开
ongf	断球 断壁残垣
ongq	断裂
onhe	糈
onhc	煆
onhg	煝
onhh	废止
onhj	废旧
onhk	断点
onhq	废物
onhx	废柴
oni	応
onie	糏
onii	废水 断水
onij	爥
onim	废油 焗油
onip	废学
onis	废渣
oniy	断流 废液
onjn	断电
onkj	断喝
onkk	废品
onkl	煒
onku	廦
onlf	废黜 废置
onlt	断路
onlw	㢞
onmd	断崖
onmr	断网
onne	断尾
onnf	断层
onnk	断壁 断臂 焗
onnt	慶
onnw	㷷
onoc	炔烃
onof	炒买炒卖
onon	熠熠
onoq	断炊
onou	废料
onoy	断粮
onpg	断定
onpq	燃眉之急
onpv	断案
onqd	断然
onqk	断句
onqr	废铁
onrt	炀
onrg	熠 断后
onrn	废气 断气
onrx	断指
onsf	废材 废票
onsh	断想
onsi	断档
onst	断桥
onsv	断根
onty	废
onte	断航
ontf	断壁颓垣
onth	断片
ontu	断乎
onud	断送
onug	糖尿病 熤
onuj	废单
onur	断交
onux	断背
onvb	断奶
