auui	以
jwwf	老祖宗
vgnu	乐于助人 錏
zcjj	泪如雨下 淚如雨下
xfvb	类比
xuvj	类人猿 類人猿
ypeb	放肆
zksf	油腻 油膩
xidg	冷板凳
xxxa	冷冰冰
xwpq	冷空气
xxzz	冷冷清清 北美洲
xjoj	冷却器
yggh	离不开
ybti	离退休 離退休
pjvb	重犯 等比
wrgf	礼拜天 摩天 禮拜天
hqwh	带宽
fqbi	探寻 探尋
kgzx	晤谈
krgu	里程碑
kdqn	里通外国
eckp	理发师
kelq	野餐
eirz	理工科
eqcl	理解力
rntk	稍候
ezku	理论界
krwp	愚痴
ezls	理论上
yiyt	新交
qszj	解法
eiue	理事会
eiww	理想主义
ebcl	卖力
cfbh	力挫群雄 力挫羣雄
whtw	遮住
ugur	余悸 朇
cltk	力偶
mjwi	默祷
craa	力所能及
faeg	击球
lrzk	蚝油
idoo	权贵
tioi	体味
jlea	盐酸
goow	历史唯物主义 历史唯心主义
cxwr	小蜜
gtra	厉兵秣马
gshc	厉行节约
phrz	升迁
yyxm	立方米
yyti	立方体
yivx	立功受奖
ynzi	立国之本 立國之本
xvxz	火炉
yyir	立交桥 立交橋
yggj	立于不败之地
uewv	全额 会客 剑客 全額
rvhx	利比亚
nftp	因伤 因傷
jbzf	地头 教头
rnrd	利国利民 利國利民
rzya	利润率 利潤率
zglo	污点
bdgi	隶属于
hxxd	灰烬 英姿煥發
tqtg	你俩 你倆
fcgx	连绵不断 连续不断
fcjt	连绵起伏
fprw	连锁反应
gozc	豆沙
wlfc	店东
fczj	东湖
fcdj	连续剧
fwwb	连衣裙
dixk	劲爆
mama	幽幽
hune	联合国 鵈
odwg	哪家
otxj	唯美
hdku	联欢晚会 䒡
zxhk	淡黄
egxn	顶着 頂着
hcvl	联络处
fqrb	换季 換季
djcv	圣女
zffr	诚挚
diof	对呀
wzgt	廉洁奉公 廉潔奉公
cbke	绿野
ggnt	厨具
wgbz	廉政建设 痞子
ccig	练习本
yikd	亲昵 親昵
cckg	练习题
hxbu	联队
zlbb	梁上君子
nqtv	瞻仰
dtyv	难言
xvtp	粮食作物 糧食作物
crck	纤细
gbuy	不惊
gdao	五台
gnio	两回事 一回事 兩回事
gsjm	两脚规
musa	内服
ggzr	两面派 兩面派
cpve	少儿 姺 鄉鎮
dkxq	引资 引資
aspa	水系
gcev	两小无猜 春小麦
domv	召见
gpup	两重性 兩重性
bwcp	辽宁省
iwzh	未闻
ubqt	白鹤 白鶴
gfpc	列车长
gfom	列车员
gwww	列宁主义
ncnc	囡囡
ilyo	林业部 林業部 來京
fcsa	车胎
ilge	林业厅
lkxf	临界状态
lkup	临时性 战略性
xszq	前沿
rzpc	科长
hjze	苦读 苦酒 茅臺酒
bzup	灵活性 建设性
bpwh	灵敏度
xcgi	凌驾于
jjkk	零零星星
giki	耗时
jetp	零配件
jftg	零七八碎
jtwv	零售额 零售額
zewh	酒席
jtzh	堆满 堆滿
udeb	领导班子
udde	领导层
ckzg	细语
udey	领导干部
ckjd	细声
ggpr	硬笔
puku	答曰
udjw	领导下 快刀斬亂麻
hlhl	菲菲
tuio	傻事
udjk	领导者
urom	领航员
uxao	领奖台
vprx	疑心
dedd	层叠 叚
zqqt	学风
lovb	战犯
ogyg	另一方面 口頭語 啞語
oguk	另一个
vlsk	独得
zxwv	谜底 说客
zhgh	流芳百世
hojb	职场 聖地
zacg	流水线
yacg	离线
zatl	流水作业 流水作業
uiuu	懒人 懶人
wibz	袜子 空子
bxpq	灵气
zcgh	流线型 扇形
zswg	流行病
zsup	流行性
zggf	流于形式 湊
vzps	留学生 冬筍
vhuj	留有余地 饒有興趣
yygz	六亲不认
mvsd	山径
ywew	六神无主
truu	仇人
gfhk	天幕 殘存
inqr	楼堂馆所
zzga	漏洞百出 滔滔不絕 源源不斷
cpml	少则
xzwi	炉衬
xzeg	炉顶
gllq	正餐
xzxz	炉料
nokd	回电
xzzk	炉温 数学课
ltps	卤化物 鹵化物
bzwi	陆海空 退守 陸海空
cbpc	好长
byiq	录音机
fzyi	至亲 至親
nfro	囤积
yswj	旅行社
yzdb	旅游局
yxyh	辛亥
yzft	旅游区
yzsj	旅游胜地
yzlx	旅游业
ioyd	事变 速記
puvv	铝合金 铁合金
dmgq	屡见不鲜
dbfi	屡建奇功 屢建奇功
oppq	呼气
djgd	屡教不改 屢教不改
ugsw	命脉
digl	屡禁不止 屢禁不止
dger	履历表 履歷表
ffgb	拒不
dbcf	履险如夷 履險如夷
frfl	拆掉
ypox	孪生兄弟 孿生兄弟
oyxn	咬着 哼着
rgzt	乱砍滥伐
byve	孩儿
rfmb	乱扣帽子
fjzg	持证
tddo	倔强
tezq	伦理学
ivqd	桃色
cchm	纱布
yooa	高叫
madh	罗马尼亚
mfkc	逻辑思维 嶚 嶛
doih	强横
mfup	逻辑性
mfzq	逻辑学
pjog	锣鼓喧天
ctck	雀巢
lcdd	螺丝刀
lcpe	螺丝钉
lcmk	螺丝帽
lyxq	螺旋桨
hjfi	落地式
tedi	传导
hezq	勤学
uhdp	慌张
wmcy	麻纺
ahmv	马鞍山
afou	马大哈
xtng	道光 導購
arxs	马后炮
izxv	过火
ajkr	马克思
bged	预支 預支
ajkw	马克思主义
atsa	驯服
afit	马拉松
ageh	马来西亚
dinb	对眼
aall	马马虎虎
efhd	截取
adfy	马尼拉
axyu	马前卒
adni	马戏团 参观团
gaig	码本
iqzy	机房
iqpc	机长 机敏
jzhe	埋头苦干
ejqt	麦克风
cops	织物
evxe	麦乳精
yacp	离乡 玅 離鄉
enmf	卖国贼
yiee	蛮横无理
zqht	满负荷 滿負荷
zutr	满怀信心 滿懷信心
znww	满目疮痍 滿目瘡痍
zsfu	满腔热忱 满腔热情
zgbt	满天飞
zhom	满员
zngq	满园春色 滿園春色
zogi	满足于
kofa	曼哈顿 曼哈頓
ngcj	光绪
uvhe	慢条斯理
cbps	好生
uggf	慢吞吞
kzbz	早退
mhzs	曲调
zecb	漫无边际
uktz	忙里偷闲
ysxx	盲肠炎 盲腸炎
gvnq	死党 死黨
qdhq	色带
ynup	盲目性
yuna	盲人瞎马
yvjb	言教
rnus	毛骨悚然
rkgh	毛里求斯
rzfc	毛泽东
rzfi	毛泽东思想
rcoo	毛织品
rwwh	毛主席
kskz	明早
haze	茅台酒
vtue	贸促会
vkyo	贸易部 貿易部
vkwv	贸易额 貿易額
ercn	表姐
vkyx	贸易商 貿易商
ijhr	枯萎
ciey	红斑
citu	红牌
zczj	没办法
zatr	没出息 沒出息
zxpa	没关系
ugwi	悟空
wgik	病榻
xfsx	送行
zifl	没想到 闲扯 沒想到
eats	动身 晉身
afzw	参演 参议
dgnj	眉来眼去
blds	疏通
tfxj	袋装 俠義
tvqd	货色 貨色
pkpy	每时每刻 無時無刻 每時每刻
dsci	通红
pkhs	每星期
otro	喉舌
pzhs	每学期
hxfa	恶报
pgug	短途 短命
xhwj	美联社 美聯社
xiqw	美术馆
xiku	美术界
fhzm	搭讪 拱门
pxge	镁砖
znzd	门当户对
hzxi	落差
zemc	门可罗雀
zdhk	汉墓
ztoe	门牌号
zyyo	门市部 涼亭
fhkg	撒旦
fhcr	撒娇 撒嬌
zzyo	门诊部
wzdo	应召
zzgv	闷闷不乐
fauo	拟向
hzix	蒙混过关
bcfy	孟加拉
iwag	梦寐以求 未經
xfgq	迷惑不解
jhpq	霸气
rggw	秘而不宣
wiwy	衬衣
rbpc	秘书长
rbvl	秘书处
wget	密不可分
wrca	密级
okdx	中弹 中層
asbf	水陆
iuqr	棉农
yapq	充气
qqdd	勉勉强强 勉勉強強
glsj	正待
gsfc	面包车
gdgm	面对面
ueem	全责
glxn	面临着
gvgy	面貌一新 天各一方
jokv	吉日
geuq	面无人色
mgek	同理
vona	各县
hkwi	苗床
fhnv	描图
cgey	妙不可言
gezw	灭顶之灾
gcuu	灭绝人性
deip	那才
dcjk	民办教师
uduu	怪人
zdzc	泥沙 婆娑
erci	表妹
dzhi	民间艺术
tbfi	侵夺 分子式
dfrc	民委
rnwf	看穿
dyza	民意测验
hjzp	苦海
tkfc	候车 修车
bcid	孙权
bbrk	书香
dgdb	民政局
dgge	民政厅
enhn	真菌
dwnq	民主党 民主黨
dwnz	民主党派 民主黨派
buzj	除法
dwdh	民主改革
dwhu	民主革命
dwtp	民主集中制
ftyo	推敲
ubmv	创见
frtp	插件
cvfa	发报
eade	云层 叆
tvzw	倾注 傾瀉 傾注
sjvg	脚印
oeuw	号令 號令
ovtu	路牌
efzh	载满 載滿
dytv	民族化
fcqq	拨冗
dyqe	民族解放运动
rivc	杂务
hcwl	药店
ppjh	铁塔
dqhd	欢聚
dyhh	民族英雄
dyxc	民族资产阶级
qgmt	名不见经传
cxht	小巷
qrda	名利双收
qgix	名列榜首 危楼
fdgy	切碎
qnpq	名目繁多
vbfx	比拼
thwt	仗义 供應
qjff	名声大振 名聲大振 颫
qsjy	名胜古迹
qlcz	外边
qfnz	名扬四海 名揚四海
qfoq	名扬中外 風吹 名揚中外
ngzx	光谱
qjoq	名震中外
kpyn	明镜高悬
copy	如镜
kcgh	明媒正娶
kyjw	明文规定 明文規定
qkhi	冥思苦想
gato	求售
uoya	命中率
zcgv	沙石 沙砾
raio	私事 䒂
twhk	依存
wfcl	摩擦力
weyo	摩顶放踵 摩頂放踵
wzeo	摩洛哥
jylo	雨点
wffc	摩托车
wfmf	摩托罗拉 窃贼 摩托羅拉
zrzr	活活
heqx	莫可名状 黃鱔
hxzy	莫逆之交
hdvj	莫桑比克
vbrx	狠心 犯愁
hhrz	莫斯科
jlyo	赴京
meeo	墨西哥
mgtj	默不作声 默不作聲
ahkr	牟取暴利
dhge	展厅
dxig	弱项 弱項
ythq	效劳
cmzr	纳闷
pszi	牡丹江
cvir	纸板
womp	衰败
ngkf	目不暇接
wosm	衰微
nujb	目的地
nnpz	目光短浅 目光短淺 睏乏
nncg	目光如豆
nfjk	目击者 國電 國都
efgm	票面 䮙
potq	造像
hdmh	慕尼黑
xkuk	单个
rqms	穆罕默德
faap	报收
rhii	穆斯林
cvci	发红
ucbz	拿架子
cjzf	结汇
muwt	内宾
odbz	嗓子 跁 䠬
mybr	内部矛盾 內部矛盾
qrgi	农耕
izze	过河
fhfl	摸到 戒掉 撕掉 拔掉
mtzr	内分泌 內分泌
zxgd	说破
mhcl	内聚力 內聚力
zraz	诱骗
sezg	德语
eyhc	敷药
mhjg	内蒙古 內蒙古
vcjv	乐土
mhjf	内蒙古自治区 農夫 內蒙古自治區
zgne	兴国 举国
mfno	内切圆 內切圓
mxif	内燃机车
dktk	那时候 那時候
tigm	体面 版权页
gigf	耐碱
plfh	钻戒
gqup	耐久性
gwup	耐磨性
fdjr	大志
kvhy	日薪
ivam	木马
kbzd	男子汉
exek	南北朝
dvvi	尼采
gltq	正像
eizz	南极洲 南極洲
eyym	南京市 騯
exzz	南美洲
hkoa	在吗
ehfj	南斯拉夫
dxzx	难道说
damt	难以置信
sknv	脑电图
sche	脑力劳动
szss	脑满肠肥 腦滿腸肥 ¾ 〺 ㉝ ㉞ ㊸ ㊹
ocgx	别来
zucj	闹情绪
vxck	卵巢
oqgj	吹奏
pfyo	我部
agas	能不能
aeup	能动性
aexp	能歌善舞
yxyi	辛辣 商討
dcfr	尼加拉瓜
jlxe	霓虹灯
tupj	你追我赶 你追我趕
lkhj	卓著
fypd	拉锯
xrre	逆反心理
toxf	保送
gksj	厚待
fhyz	匿迹
fqty	匿名信 擔
fhhh	拈花惹草 攝
pykg	年产量 生产量 年產量 生產量 䉡
pyte	年产值 年產值
rnzd	看涨 看漲
csxc	约数
btfr	飞逝
pejs	年平均
tehe	值勤
iyas	核能 棛
wktv	神化
ssok	胸中
pfhz	年轻有为
pidy	年事已高
zepo	斗智
pujr	年逾古稀 特快專遞
gzvi	逐条
rusy	黏胶
wivq	割爱 割愛
cwve	娘儿
eczg	无语
pulw	牛鬼蛇神
ptww	牛仔裤 牛仔褲
eozv	歌谣
fgza	扭亏为盈
hbzp	蒸汽
qyoo	农产品
zfcj	头绪
xoin	总想
dpne	属国
bxnq	灵堂
qiyx	农工商
ishx	三亚
qrbw	农科院
qipz	农林牧副渔
qvyj	农贸市场
qdjw	农民起义
gbhx	不严 万恶
qdlq	农民战争
zzdt	之难
qpdf	农牧民
dbii	巴林
qplx	农牧业
qcpm	农奴制
xfln	半步
qkar	农田水利
igrx	本心
iwki	未果
qzbw	农学院
hehk	甘草
syng	用光 徹骨
ubxw	白糖
qlut	农业合作化
trpv	任选
qlrx	农业税
bpfe	君臣
oaas	吸水
qflf	农转非
zxif	浓妆艳抹
cbpm	奴隶制
vfnr	昏睡
zkfu	油轮 渨
egps	玩物
flwf	卧室
cdyp	怒族
escy	青翠
uezk	恒温
cjtz	女士们
fvgo	挑逗 指頭
hfwr	茂密
kvzy	暖房 暖流
zmqc	诺贝尔
fwue	欧安会
fhti	欧共体
fcws	欧姆定律 歐姆定律
ftjv	欧佩克 歐佩克
kiea	时运 果酸
fhfb	欧亚大陆
tuzi	偷闲
tbxc	偶函数
tsup	偶然性
ufpq	怄气
cvpf	终年 媱
wdbz	被子
fadv	拍马屁
fqrm	软盘
fbgd	排除万难
fbdd	排除异己 成双 抒發
fazs	排水沟
fkcm	提纲
fakg	排水量
vjtz	犹自
iiht	攀枝花
xxcl	判断力 勞力
xxbb	判决书
xxzg	善举
frto	抛售
hvth	菜肴
fpcg	抛物线
roga	乱码
zzxx	泡沫塑料
tdlv	仅此 蚠
jzex	培训班
xfvz	炼狱
ggsx	远行
fluo	扑向 撲向
mwxx	赔礼道歉
ljte	虾仁
ekrm	配电盘 騦
zsdp	调皮
shtz	朋友们
ddtp	刀伤 刀片 發作 刀傷
fsfp	捧腹大笑
lspu	上签 上籤
cxzv	小溪
fcyx	批发商
okwi	中空
mucp	内省
rdkg	反是
fzez	批评与自我批评
dzfz	劈波斩浪
xvro	火种 火舌
tfms	代购
dkdf	皮影戏
wvgj	疲惫不堪
pjty	失信
dfzj	民法
dprm	皮毛
zuxt	漂白粉 认准
ezfj	瓢泼大雨 瓢潑大雨
cbii	好梦 绿林
fywc	拼音字母
jvti	老兵
tnzh	贫困户
tnna	贫困县
tpvc	作乐
tvxn	低着
ozxt	品学兼优
xftg	判例
elee	平步青云
ezef	平淡无奇
byvc	防务
eper	平等互利
fkqs	押解
exwh	平度
lewt	歧义
eyib	平方根
eytk	平方公里
esiv	平衡木
sdzr	肥沃
ejrz	平均利润 平均利潤
emmg	南岸 㿻
ejxc	平均数
xjqd	美色
ejte	平均值
wgcx	家小 窛
nfkp	恩师
exxz	平炉
egqt	平面几何
egpy	平面镜
egnv	平面图 真面目
prig	笑柄
pryr	笑意 笑話
eeww	平平安安
eenn	平平常常
eezz	平平淡淡 乾乾淨淨
yogk	毫厘 高壓
zygj	液压
eerr	平平稳稳 平平穩穩
excf	平绒
escg	平行线
bsxy	阴凉
ctey	雀斑
jbhc	雪茄
zzwg	评论家 淘汰赛 淘汰賽
oioi	喳喳
pgcx	短小
glgh	裂开
haiv	萍水相逢
ddsf	颇费周折 頗費周折
fgov	夸口 㧵
roqf	敌军 和風
zsyt	调剂
fute	轮值
gcba	破纪录
hjwv	鞋底
ggxx	破破烂烂 破破爛爛
gghy	破天荒 不厭其詳 顨
ojps	器物 中專生
gjei	破土动工
gcga	破绽百出
tzkg	储量
tzpg	储钱
fggg	扑面而来 邪不压正 邪不壓正 㩡
qxzr	鲜活 风凉话 鮮活
pefr	铺轨 铺垫
mxyv	赠言
hhze	葡萄酒
bxds	灵通
ilgn	朴硝 檅
xzup	普遍性
xaya	普及率
cvmm	女婴
xagh	普及型
xxdd	普普通通
tase	公德
rdrs	反手
evjc	妻儿老小
hufh	欺人太甚
huzz	欺人之谈
hlnj	欺上瞒下 欺上瞞下
syti	用兵 胶体
hhxq	欺世盗名
yljz	齐步走 齊步走
omco	吊架
yfhp	齐抓共管 齊抓共管
qonq	名堂
hvew	其乐无穷
hwgs	其实不然 其實不然
uilx	企事业 企事業
fbbp	成群 成羣
uilt	企事业单位 企事業單位
zbjw	池塘
byqt	防风
ultv	企业化 企業化
ulwg	企业家 歸家 企業家
djwf	居室
ulku	企业界 企業界
zcfi	启发式
pcps	长生
hexq	某次
jhco	起落架
gadw	殆尽
jzbb	起诉书
jpiq	起重机
thjq	借壳 借殼
pooo	气喘吁吁 氣喘吁吁
pwgq	气度不凡 氣度不凡
eskg	酌量
hjlx	基业 鞋业 基業 鞋業
pfgg	气势磅礴
poif	气味相投 氣味相投
oovl	患处
pqyl	气象站 氣象站
flqs	排解
pxod	气焰嚣张 氧吧 氣焰囂張
rwrs	舵手
puzl	迄今为止 䈩
wjpj	庄重
zfyl	汽车站
zziq	汽油机
ucir	恰好相反
uuir	恰恰相反
pgos	短跑
cqqd	绝色
rggb	千百万
hkyx	黄帝
rogo	千呼万唤 舌頭 甜頭
rreg	千斤顶 千斤頂
rkam	千里马
rkdd	千里迢迢
yizy	新房
rdgb	千难万险
rrfl	千秋大业 千秋大業
rmga	千山万水
ibzx	概说
rggg	千万元
tqhf	躲藏
fcfi	牵线搭桥
efsj	截然 飘然 飄然
eozx	歌谱
xgqw	前不久
wqbz	疯子 瘋子
xjrc	前赴后继
xeig	精工
xrhh	前后左右
xqgf	前几天
xgsu	前列腺
xuvl	前怕狼后怕虎 前怕狼後怕虎
hfhg	莲藕
xxrr	前前后后
xriz	前所未闻
pvvr	选入
xuek	前途无量
detv	丑化
jggv	坏死
xlgf	前些天 普天
xnrk	前因后果
dtlo	难点
xxek	前总理
gfvs	蚕食 吞食
ewze	酿酒 釀酒
meem	黔西南
vryt	入夜
zkku	浅显易懂 淐 淺顯易懂
lstf	上代
qqyp	欠产
gbjb	不孝
dcgu	强加于人
drci	强手如林 強手如林
dryt	强心剂
dgzr	强硬派 強硬派
rasu	丢脸
fjvb	抢劫犯 搶劫犯
frtv	抢手货 搶手貨
fbgw	抢险救灾 䫆
hsga	有救
ycjo	敲边鼓 亡靈
tzxb	自决
tvjb	低地 自留地 货场
ypii	敲竹杠 敲竹槓
jzwg	走完
nsjd	瞧得起
ijcl	巧克力
opoe	呼号 呼號
opro	咋舌
zjmh	法典
fwes	切实可行 切實可行
upps	怯生生
yvus	亲爱的 親愛的
eqjd	勃起
ysch	亲朋好友 親朋好友
ycgw	亲如一家 親如一家
ggtk	研修
ywtu	亲痛仇快 親痛仇快
cixt	红粉
xjdn	美眉
btuo	飞向 䧍
thvr	借入
gors	副手
tkjk	侵略者
gusm	秦皇岛 副性徵
gcue	秦始皇
eibg	琴棋书画
hitz	勤工俭学 有机化学
htfw	勤俭持家 勤儉持家
htbn	勤俭建国 勤儉建國
zera	清秀
hthc	勤俭节约
glas	焉能
hhfw	勤劳致富 若按
hhbb	勤勤恳恳 艱難險阻
hvom	勤务员
hzhc	勤学苦练 蒙汗药
eghs	青春期 干警
ezcp	青海省
eipa	青梅竹马
epha	青年节
zmaa	测出
epuu	青年人
sjky	街景
mlnv	贴图
epni	青年团 歌舞团
mqxc	岁数
nbhs	当世
eqxz	青饲料
nbxn	当着
izub	过快
expf	青壮年
zxgc	阅历
filx	轻工业
iodp	整改
zyzg	谚语
ycbz	辫子
tcae	倾巢出动
ztfz	清华大学
zzuu	清清白白 㴺
zzii	清清楚楚 㵉
cxvv	小金
zeji	清真寺
cpxq	少将
llla	蜻蜓点水
ywkk	文昌
ywyc	文盲
ufrr	情报所
qqrn	欠租
ufmt	情报网
oaog	叫嚣 叫囂
uhhp	情节严重
umro	情同手足
kjer	晴雨表 時髦
vyzz	顷刻之间
zbvt	请君入瓮
oohx	串联
gkwy	更衣
zelo	请战 清点
garo	求和
jpdb	罄竹难书
wtmg	穷兵黩武 窮兵黷武
flyl	到站 監督站
rxfp	秋播
fdco	招架 大驾 大駕
rvrb	秋冬季
rxgi	秋耕
kixq	果酱
rxxw	秋粮
wizp	空泛
gsrf	求胜心切 求勝心切
xszf	前头
idfd	契据
ewiq	球磨机
fgtw	威仪
ffci	区区小事 區區小事
fjup	区域性 拈輕怕重 區域性
fgwt	区政府 感應 區政府
aeoj	驱动器
agrm	驱逐舰
sxbz	胖子
pjfa	重击
hxgi	取决于 有益于
mtbi	刚柔
htgd	取信于民
golu	唇齿
hzgd	取之不尽
vwwi	留守
cyek	纹理
jjtw	堵住
uyty	全方位
zqbq	深陷
rqgh	移开
sxbu	脱险
bsgf	阴天
unvj	全国各地 全國各地
gknv	画图
pgro	短程
ovby	路障
iued	枪支 槍支
unup	全国性 全國性
udup	全局性
jeqs	墙角
udrp	全民所有制
zkoa	谩骂
zxqe	谱写
xfvw	关贸
nquz	党魁 黨魁
ueup	全球性
ukpm	全日制
uhku	全世界
disw	已往
ugtk	全天候
utea	全自动
fyyo	牙膏
isrx	权衡利弊 權衡利弊
typm	仿制 仿製
pfch	缺医少药 缺醫少藥
vozc	各为
ghhi	确有其事 確有其事
cbtj	好做
whxp	裙带关系
bynq	群言堂 羣言堂
buxp	群众关系
lniu	步枪 步槍
zqtj	没做 沒做
buoc	群众路线
fein	奇想
buup	群众性 陰性
yphz	放荡 遊蕩 放蕩
buee	群众运动
xxzk	燃料油
xpfi	燃气轮机
htki	花果
qhzj	饶有兴趣
btxn	附着
cxgs	绕道而行
cnbz	绕圈子
fkgc	热电厂
ineg	相干
firw	热核反应
zpwe	海宁
ztpm	浴血
fczq	热力学
bzwh	退席
tjtd	做假
tlzb	侦讯
tzec	偏要
fztv	热门货
frpc	热敏
pdqj	第几
fesq	热平衡
fwkg	热容量
faoj	热水器
wmlo	视点
iqid	枫树
uiau	人才出众
jors	鼓手
gjya	厌弃
ukio	慢速
umgw	人财两空
lqpo	睿智
gxgv	磁石 不勞而獲
ufte	人大代表
wubl	瘦了
uxww	人道主义
jhzx	趣谈
zqhq	学苑
uqjc	人多地少 惲
trwi	凭空
uiuf	人工合成
xffb	烧成
uohk	人贵有自知之明 人貴有自知之明
gbvr	迈入
ubxp	人际关系
wcpv	礼赞
uvhz	人皆有之
kkke	曝晒
ydrx	变心 誋
ugus	人来人往 愣頭愣腦
udfn	人民大会堂 人民大會堂
udzb	人民法院
udqq	人民解放军 人民解放軍
udhw	人民警察
tdkf	分晓
udkf	人民日报
udgw	人民政府
uuoi	人情味
uuvp	人人皆知
uuep	人人平等
utid	人身权
glts	正身
kjir	甲板
upjy	人生地不熟
updm	人生观
uphh	人生在世
upfz	人生哲学
uidb	人事局
urgs	人手一册
uitb	人寿保险
pmzn	血泪
urhp	人所共知
wywk	衣袖
thxv	希冀
umth	人赃俱获
iobz	杏子
uphg	人造革
gajb	求教
upiu	人造棉
tgcv	使女
upak	人造卫星
dpgj	忍气吞声 忍氣吞聲
kiid	果树
emds	南通
dvts	尸身
ypkh	施暴
uaas	泉水
hjsx	苦行 荺 䕮
hihr	茉莉
tvbb	任务书
wozm	宫门
tiuo	射向
yxdm	旁观
bbps	书生
kibu	日本队
pfbf	矩阵
kine	日本国
tjpq	臭气
jdos	起跑
edkd	配电
knpz	日常生活
bjmn	陡峭
krer	日程表
typo	停靠
kpgk	日复一日 暗無天日
knxe	日光灯 冒煙
kzig	日记本
xnqk	粗鲁 粗魯
kqmr	日久见人心
kmhw	日内瓦 日內瓦
xkdd	单刀 爆發
pssw	筋脉
ksgt	日用百货 日用百貨
hkua	黄泉
ksoo	日用品
hgeh	荣辱与共
mevp	置疑
hzfg	荣誉感
wgsk	容不得
txmg	伙同
huhz	苍茫 蒼茫
gzgt	融为一体
wrim	蜜枣 蜜棗
mpoo	肉制品 肉製品
fdml	轻则
cagf	如出一辙
clzg	如此说来
zjzj	澎湖 漸漸
czxp	如法炮制 如法炮製
ckfd	如果把
syhq	胶带 脐带
jpev	龙王
clfr	如临大敌
lohv	点菜
clri	如上所述 综上所述
cgat	如愿以偿 如願以償
kgqs	题解 旦角 題解
bbpn	孺子牛
dtyp	难产
dpjb	属地
vjxj	入场券 入場券
fhvr	摄入 攝入
ydzj	变法
vcbt	入乡随俗 入鄉隨俗
bxau	灵验
vzya	入学率
fsxj	软包装 抱养 抱養
ftsd	软件包
ovee	口琴
fwlp	太监
frgp	撒手不管
rmpr	毛笔
wqch	塞尔维亚
asid	水桶
itch	三八妇女节
weza	主治
oaaa	叫出
iymh	三部曲
ipic	三等功
ubuu	白人
itfi	三段式 㭖
wxty	穴位
iczp	三好学生
iuir	三合板
iipw	三极管 三極管
iqzz	三角洲
ihxk	三联单 榗
zqwd	沉痛
izmj	三门峡
jzki	走时
bywg	防病 防寒 陰謀家
vqka	受累
iwfm	三座大山
vqfr	受热 爭名奪利
edgw	丧尽天良
osoj	咆哮
erwv	丧心病狂 喪心病狂
dagu	屈原
rrni	所困
tlyt	杀虫剂
tpss	杀气腾腾 傷 殺氣騰騰
tugn	杀人不眨眼 殺人不眨眼
emry	南航
tuyx	杀人放火 殺人放火
gjxj	春卷 奉养 春装 奉養
xjqo	美名
mfcp	山东省
myap	山高水长
mzxf	山海关
wkfp	神医 神醫
mjls	山坡上
ispy	杉篙
fytw	接住
znxe	闪光灯
zged	添丁
becp	陕西省 陝西省
xquy	善解人意
jfjf	款款
bcuw	肃贪
etlq	进餐
uxhv	粤菜 恲 含糊其辭
faug	顿悟 頓悟
yozy	商品房
frwv	垫底
diqs	对角
yocz	商品经济
yoxw	商品粮
iopz	整篇 遫
zgln	举步
yzbw	商学院
fdpn	摊销
ylsj	商业街 商業街
ylft	商业区
guzh	一户
yxes	商酌
gbng	不光
jyue	墒情 埣
lxpf	上半年 對我
ldbp	上层建筑 上層建築
jgzg	古语
rppu	必答
kysk	由得 日新月異
lusv	上个月
jbid	地契 地权
lerx	上进心
qqkr	多思
lujf	上情下达
lmjc	上山下乡 上山下鄉
labu	上台阶
ljex	上下班
hsdi	有劲
ljca	上下级
ljcu	上下结合
ljyw	上下文
baty	即位
lkhs	上星期
lguk	上一个
rcbf	稍纵即逝
fqwc	投案
cpvy	少年儿童
cpvb	少年犯 鄕
cxsx	少数服从多数
cxdy	少数民族
kkfb	昌盛
cpbo	少先队员 少先隊員 㗽
erhq	表带
fcpm	轧钢
uigi	舍本逐末
udgu	舍己救人
woqb	哀怨
fgbk	咸阳 咸陽
iwbz	柱子
ivzt	柳州
zzrr	设计所
xjsb	美腿
zzbw	设计院
bzzl	退让
tdpx	假释 假釋
yxxc	商数
yxiu	商检 商檢
ypcb	产妇
wuvk	社会各界 社會各界
kehk	野草
wuxp	社会关系
wuze	社会活动
jfvz	越狱
ghbj	开垦
wuyx	社会效益 座談 社會效益
noiw	圆柱 闡述 圓柱
yiwj	新宠 新禧
wuww	社会主义
nblv	当此
mevr	置入
iizy	梦游
zhjd	闻声
lelr	蜻蜓
jxzr	增派
jxgj	增压
locl	战力
kzuu	申请人
kzbb	申请书
phro	错乱
gjbf	压阵
tgjl	身残志坚
hczb	蕴涵
tucf	身怀绝技
efzv	飘浮 飄浮
txxh	身兼数职
tdtx	身强体壮
trtw	身心健康
fddj	大圣
zeou	深表遗憾 深表遺憾
fwgb	太不
ztdh	深化改革
zcig	深加工
iwsj	未然
ewxe	玉兰
zvhw	深受其害
ztgv	深信不疑
wcwk	安神
pfrl	年利
xqbz	次子
weet	神魂颠倒 神魂顛倒
gedj	而居
wcwd	神经衰弱
wcpc	神经系统
nipz	困乏
wccc	神经纤维
wcoi	神经中枢 袽
wrfg	神秘感 㢉
fcfe	车臣 车技
dagi	屈辱
wfth	神态自若
wzmj	审计署
wxpc	审判长
wxwd	审判官 審判官
fxxg	拼凑
wxom	审判员
ikct	查办
lias	肾功能
llse	肾上腺素
zagm	渗碳 滲碳
incb	相好
zrgj	渗透压
kswd	胃痛
uzdu	慎之又慎
fepw	套管
pmzx	生财之道
kpta	师公
htct	恭维
nfue	恩情 國情
uzxn	追着
pyyf	生产方式 生產方式
